book_id,tag_id
27,0
27,9
27,1
27,13
27,3
27,2
27,7
27,32
27,40
27,12
27,20
27,39
27,17
27,5
27,30
27,33
27,101
27,14
27,38
27,43
27,34
27,11
27,85
27,54
27,10
27,6
27,44
21,0
21,9
21,1
21,40
21,3
21,13
21,2
21,5
21,20
21,30
21,33
21,101
21,38
21,43
21,34
21,11
21,54
21,39
21,44
21,32
21,17
21,23
21,97
21,10
21,72
21,57
21,31
2,0
2,1
2,9
2,13
2,3
2,2
2,7
2,32
2,40
2,12
2,17
2,39
2,20
2,5
2,30
2,14
2,101
2,43
2,33
2,38
2,11
2,34
2,54
2,6
2,46
18,1
18,9
18,13
18,0
18,3
18,2
18,7
18,32
18,40
18,12
18,39
18,20
18,17
18,5
18,30
18,14
18,101
18,38
18,43
18,33
18,11
18,34
18,139
18,54
18,6
18,128
18,46
24,9
24,13
24,3
24,2
24,7
24,1
24,40
24,12
24,20
24,17
24,5
24,30
24,141
24,33
24,38
24,101
24,14
24,43
24,11
24,34
24,54
24,39
24,6
24,0
24,44
24,46
3275,0
3275,1
3275,9
3275,13
3275,3
3275,32
3275,2
3275,7
3275,34
3275,12
3275,40
3275,39
3275,20
3275,17
3275,5
3275,30
3275,101
3275,38
3275,33
3275,11
3275,37
3275,141
3275,24
3275,14
3275,43
3275,6
3275,66
3275,19
3275,23
3275,31
3275,97
3753,0
3753,1
3753,9
3753,3
3753,13
3753,32
3753,7
3753,40
3753,2
3753,12
3753,20
3753,17
3753,101
3753,39
3753,33
3753,14
3753,37
3753,30
3753,5
3753,38
3753,54
3753,46
3753,141
3753,43
3753,11
3753,6
3753,66
3753,23
54,0
54,1
54,20
54,3
54,24
54,9
54,17
54,2
54,7
54,12
54,5
54,4
54,43
54,13
54,126
54,14
54,8
54,140
54,113
54,16
54,45
54,48
54,29
54,6
337,0
337,1
337,20
337,3
337,24
337,9
337,2
337,17
337,7
337,12
337,5
337,14
337,45
337,43
337,16
337,126
337,4
337,48
337,113
337,140
337,13
337,8
337,29
337,6
337,139
337,52
374,0
374,18
374,26
374,1
374,45
374,2
374,24
374,52
374,14
374,92
374,4
374,3
374,123
374,21
374,68
374,126
1460,92
1460,26
1460,0
1460,24
1460,1
1460,59
1460,2
1460,18
1460,12
1460,47
1460,4
1460,3
1460,81
1460,74
1460,6
1460,14
1976,0
1976,24
1976,26
1976,59
1976,47
1976,2
1976,92
1976,21
1976,74
1976,18
1976,70
1976,3
1976,4
1976,45
1976,14
1976,1
1976,41
1976,6
1976,29
1976,12
1976,95
2321,0
2321,92
2321,26
2321,24
2321,59
2321,1
2321,2
2321,21
2321,47
2321,12
2321,3
2321,18
2321,74
2321,14
2321,6
2321,4
2321,29
2279,0
2279,92
2279,26
2279,24
2279,59
2279,1
2279,64
2279,2
2279,47
2279,18
2279,12
2279,4
2279,21
2279,74
2279,3
2279,14
2279,29
2279,6
2279,95
1449,0
1449,92
1449,26
1449,24
1449,59
1449,1
1449,2
1449,47
1449,43
1449,18
1449,3
1449,64
1449,74
1449,14
1449,4
1449,6
1449,12
1449,29
1449,21
4079,0
4079,26
4079,24
4079,18
4079,2
4079,1
4079,4
4079,14
4079,123
4079,29
4079,6
4079,16
4079,43
4079,21
4079,106
964,0
964,3
964,17
964,9
964,7
964,20
964,12
964,66
964,13
964,32
964,1
964,76
964,2
964,39
964,5
964,4
964,8
964,82
964,53
964,40
964,43
964,34
964,141
964,23
964,33
189,0
189,9
189,1
189,17
189,3
189,2
189,12
189,20
189,7
189,66
189,16
189,5
189,13
189,76
189,32
189,43
189,14
189,4
189,29
189,39
189,8
189,48
189,82
189,53
19,9
19,0
19,17
19,3
19,2
19,12
19,7
19,20
19,1
19,66
19,13
19,32
19,5
19,16
19,76
19,4
19,8
19,43
19,14
19,29
19,39
19,48
19,97
19,53
4229,0
4229,9
4229,99
4229,26
4229,2
4229,3
4229,1
4229,4
4229,53
4229,97
4229,20
4229,13
4229,7
4229,66
4229,110
4229,45
388,13
388,3
388,12
388,1
388,0
388,17
388,91
388,40
388,35
388,31
388,39
388,2
388,7
388,54
388,33
388,44
388,5
388,72
388,23
388,6
388,127
3504,0
3504,18
3504,3
3504,1
3504,2
3504,16
3504,36
3504,5
3504,21
3504,8
3504,6
3504,127
3504,94
3504,41
3504,4
3504,87
3504,17
3504,68
639,0
639,17
639,40
639,3
639,1
639,39
639,2
639,13
639,18
639,54
639,87
639,16
639,5
639,25
639,72
639,12
639,64
639,35
639,46
639,31
639,57
639,7
639,44
7683,0
7683,26
7683,2
7683,138
7683,25
7683,80
7683,4
7683,40
7683,1
7683,7
7683,14
7683,123
2817,20
2817,3
2817,2
2817,9
2817,1
2817,7
2817,17
2817,0
2817,45
2817,5
2817,12
2817,126
2817,48
2817,60
2817,14
2817,16
2817,65
2817,76
2817,4
2817,21
2817,29
2817,8
2817,52
2817,130
1105,3
1105,9
1105,20
1105,2
1105,1
1105,7
1105,17
1105,45
1105,0
1105,5
1105,48
1105,60
1105,126
1105,76
1105,16
1105,14
1105,21
1105,29
1105,12
1105,65
1105,52
1105,4
1105,8
1105,130
1262,20
1262,3
1262,9
1262,2
1262,1
1262,17
1262,7
1262,0
1262,45
1262,5
1262,48
1262,76
1262,60
1262,16
1262,14
1262,126
1262,65
1262,21
1262,52
1262,12
1262,29
1262,4
1262,8
2491,0
2491,20
2491,3
2491,2
2491,9
2491,1
2491,7
2491,17
2491,45
2491,5
2491,48
2491,60
2491,14
2491,126
2491,12
2491,16
2491,76
2491,21
2491,52
2491,65
2491,29
2491,4
2491,8
3230,0
3230,9
3230,99
3230,26
3230,1
3230,2
3230,3
3230,20
3230,17
3230,97
3230,14
3230,5
3230,4
3230,71
3230,13
3230,110
3230,45
1597,0
1597,3
1597,1
1597,18
1597,17
1597,2
1597,44
1597,13
1597,5
1597,16
1597,31
1597,15
1597,8
1597,4
1597,6
1597,7
1597,71
1597,53
1597,50
1597,36
1597,26
1597,12
1597,98
1597,59
1597,29
1597,35
4081,0
4081,3
4081,1
4081,2
4081,6
4081,5
4081,73
4081,44
4081,16
4081,36
4081,21
4081,13
4081,8
4081,41
4081,68
4081,4
4081,15
4081,35
4081,14
4081,113
4081,31
4081,51
4081,58
4081,10
4081,144
4081,123
1999,0
1999,3
1999,17
1999,1
1999,2
1999,36
1999,21
1999,16
1999,83
1999,5
1999,8
1999,59
1999,10
1999,26
1999,29
1999,6
1999,64
1999,74
1999,14
1999,15
6787,0
6787,3
6787,17
6787,1
6787,16
6787,2
6787,21
6787,5
6787,83
6787,36
6787,29
6787,6
6787,26
6787,14
6787,10
6787,8
6787,15
6787,4
6787,47
6787,59
6787,41
1783,17
1783,3
1783,1
1783,2
